nama_parfum,brand,description,notes,url_foto,aroma_type,time,occasion,gender,shopee_link,tokopedia_link,tiktok_link,notes;;;;
In France,the sight and scent of muguet (lily of the valley) have become synonymous with the first of May. Growing abundantly in forests and meadows,lily of the valley is collected and offered to those you keep near and dear to your heart. The cold,sweet scent of the delicate bell-shaped flowers in Muguet Fleuri reveal the true essence of springtime and herald the promise of summer. For the well-dressed,Muguet Fleuri impresses women (and men alike). Offering lily of the valley lies within the realm of being a gallant gentleman.;;;;,,,,,,,,
Legend has it that the flower sprang where Mary's tears fell as she saw Jesus carry the cross. Contrasts,olfactory and symbolic,best describeOeillet Louis XV,an elegant scent that never ceases to astonish.;;;;,,,,,,,,,
The perfume is a tribute to the legendary gardens and the women who have symbolized them throughout the ages. The Rose,Queen of Flowers,is at the heart of this enchanting bouquet picked in the Garden of Armida. Iris from Florence,wild violet powder,wisteria and carnations from India,whilst honey,almond and musk bring incomparable strength to this tempting elixir.;;;;,,,,,,
A couple of people,including the visiting Tatler journalist,fell in love with the base. The name came from one of the comments about it-- so Sarah thought perhaps it would be a good idea to bottle it the way it is. So she did.;;;;,,,,,,,,,,
Of course,Isparta being composed by Pierre Guillaume,a man who's never shied away from powerful notes,this Turkish delight is robust enough to chew on. Tinted purple by juicy,jammy berries  a natural facet of the flower  his rose petals are embedded in a rich bed of sticky resins. The sweetness of vanilla and cinnamon-tinged Peru balsam and benzoin is balanced by the darker,woody hues of incense,patchouli and agarwood. Amber and musk conjure the velvety softness of the blossom.;;;;,,,,,,
The poet Charles Baudelaire,famously a lover of perfume and the exoticism of faraway lands,was by turns cerebral,sensual,perverse,and sentimental. Byredo's homage to the French dandy reflects this mercurial nature with its multiple olfactory dimensions.;;;;,,,,,,,
A gentle sweetness lies at the heart of Baudelaire,with hyacinth warmed by amber and a touch of fruit. This sentimental center gives way to the aromatics of caraway,patchouli,and juniper berries,with their green whiff of the brisk outdoors. Baudelaire's base truly provides a counterpoint to its initial warmth,the way that his poetry often launches into philosophy: sensuality gives way to aridity,with a dry,incense-y base of leather,patchouli and papyrus.;;;;,,,,
But Byredo's Oud Immortel bucks the trend and puts a smoky,earthy oud accord in the background,even though its name has top billing. It opens with a gourmand vanillic lemon accord,which contrasts with an earthy,herbaceous base of tobacco leaves,moss,patchouli and papyrus. This base cuts the sweetness with a mysterious dryness,making the scent edgier than sweet scents usually are. And,although it's not listed,it would make sense if the immortel flower,both savory and syrupy sweet,were romping around in Oud Immortel.;;;;,
Oud Immortel's lemon scent is courtesy of Limoncello,the aromatic citrus-fruity,candied Italian digestif,the major key personality to the oud's minor key. In the background,the slightly medicinal,camphory vibe from patchouli allows a brighter,happier,fruitier character to speak,accented with warming spices of cardamom.;;;;,,,,
1996 bursts forth with a cloud of amber-scented iris,as powdery-soft and diffuse as the incandescent photograph itself. A leather accord dosed with patchouli and black pepper gives its ethereal,confectionary opening some heft and drama. Inez & Vinoodh move freely between both the fashion and art worlds and are known for their hyper-real and digitally retouched photos. They put a sheen of the otherworldly onto their images,and there is something both earthy  the leather,patchouli and rootiness of iris  and elusive and dreamy about 1996,as if an added layer of fairy dust were sprinkled onto its more legible notes.;;;;,,,,,,,
CÃ©drat Envirant,like all of Atelier's Cologne Absolues,has a 15% concentration,with an equally intoxicating composition of Moroccan cedrat,Mexican lime,Calabrian bergamot,Chinese mint,Egyptian basilica,Macedonian juniper,Brazilian tonka bean,Haitian vetiver,and Phillipine elemi.;;;;,
EIGHT & BOB,as the cologne came to be known,was a hit with the Hollywood elite,but it would languish for decades after Albert's tragic death in a car crash. WWII forced Fouquet's loyal butler Philippe the only other person who knew the cologne's formula to hide his final shipment of bottles inside books that he carefully cut by hand.;;;;,,,,,,,,,
But EIGHT & BOB has returned. Based on its original formula,this bright,elegant cologne with the rareAndrea plant extract from the Andes. The Andrea species is a wild plant in short supply due to the altitude and limited area in which it grows,and can only be picked during the months of December and January. The plants gathered undergo a very exacting selection process in which only seven percent are chosen. This process ends between March and April and only then is it known how many units of EIGHT & BOB can be bottled for the year.;;;;,,,,,,,,,
Here is what Black smells like. An aura of spice and incense in a darkened temple,lit only by smoldering candles,surrounds you as you reach a deep meditative state. As you drift,your thoughts lead you to a place of comfort and serenity. Embrace the aroma: it is your father's scratchy beard and the scent of his pipe. It is your mother's silky hair,freshly washed. It is the fur of your most beloved pet. Fall deeper,into the womb,into the tomb,farther. It is the smolder of creation,the hiss of the first rain on hot stone. It is carbon and coal and smoke and fire. It is the deep roots of life.;;;;,,,,
The top notes open with theatrical anticipation and dazzle on the skin; plucky saffron mingles with coriander before being softened by creamy,elegant Turkish rose. The middle of this scent only intensifÃ¬es our lust for luxury,as Rose Absolute and Jasmine take on a sumptuous role arresting the wearer with their heady warmth. Ardent's base gently simmers us,bring us down to earth,the subtle use of argarwood anchors the fragrance masterfully,while the benzion and amber ensure a seductive drydown.;;;,,,,,,,
Along with the latter and Oud Fleur,Tobacco Oud is part of the brand-newOud Collection. And in case you were wondering,any resemblance with Tobacco Vanille  a firm favorite in the Private Blends  is most emphatically not coincidental,since Tobacco Oud was composed by the very same perfumer,Olivier Gillotin. ;;;;,,,,,,,,
Here,the vanilla is ousted by  obviously  oud. The tobacco accord is less of a mellow pipe tobacco though it retains the delectable almondy inflection of tonka. Instead,it was inspired bydokha,a traditionalblend of herbs,flowers and spice-laden tobacco. And a heady blend it is,matching the fragrant smokes of oud resin and aromatic tobacco,with none of the side effects...;;;;,,,,,,
The fragrance contains some of the worlds finest ingredients,including; Saffron,Turkish Rose,Jasmine absolute and Indonesian Patchouli. Nemer is exquisitely unique,constructed using traditional fragrance oils and blended with sensibility. Its rich creamy concentration oozes with decadence and charm,lingering on the skin with a sense of innate mysticism.;;;,,,,,,,
With flirty florals like violet and rose fumed with pipe tobacco,the exquisite smoothness of cashmere and suede,and deep resinous undertones,this warmly smoldering scent evokes my sensorial love for luxury,and makes me feel,dream,travel and remember.;;;;,,,,,,
Revved at the start,crisp,fresh notes of herbal lavender and sparkling bergamot pair with inky oakmoss and get a twist as the scent unfolds into the elegance of vetiver and clary sage.;;;;,,,,,,,,,,
The shy violet and iconic rose develop into a powdery and gourmand fume and then ramp up as spicy and savory notes of aphrodisiac saffron and smoky bois de gaiac communicate with the florals and begin to ignite.;;;;,,,,,,,,,,,,
Riding an old motorbike,taking it slowly in view of the extreme heat,the air on my face was deliciously cool. The sun intensified the fragrances of the nature around me. Aqua Vitae,the water of life,when life is quite simply beautiful,an extremely sensitive sensuality enveloped with an uncontained freshness.  Francis Kurkdjian Kurkdjian's gorgeous ode to a summer afternoon opens with a sparkling combination of Calabrian lemon and Sicilian mandarin,evoking the sensual fullness ofuncontained freshness. Dazzling Hedione adds with the warmth of the sun while waves of tonka bean and vanilla counter with a cooling breeze.;;;;,,,,,,
One of Xerjoff's signature traits is an uncanny ability to harmonize the most extreme intervals -- sparkling aquatic top notes in perfect balance with the deepest,darkest bases - like the sea itself with a sparkling surface and fathomless depth. ;;;;,,,,,,,,,,,
40 Knots opens with a sea breeze,warmed by sun-kissed,vegetal greens and cooled by the surface of the salty water. The bracing,nearly menthol,salt note ebbs and flows through the entire drydown,which gets darker,woodier,and richer with emerging notes of coffee,cedar,and clove. The crisp green and salty beginning softens to reveal a woody,slightly floral heart. ;;;;,,
The nectar freshness of lychee and the crispness of white peach playfully engage black pepper and pimento. The effect is a top with both a flirty tartness and a soft,powdery gauziness. All the crispness in the opening eventually gives way to a woody floral heart,wherein May Rose and jasmine Sambac soften earthy wood notes of cedar,Sandalwood and patchouli. The rich,woody heart grows softer,even more powdery,and increasingly sensual as it dries down into its final animalic-tinged oriental base of tonka,benzoin and vanilla.;;;;,,,,,
Founder of a new genre,his writings depicted a new vision of the world,mixing reality and fiction. Intellectual and activist,compromise was none of his kind,as Hemingway always succeed in finding his own way,and thus,his unique style.;;;;,,,,,,
Hemingway's passion was captured in this fragrance. From soldier,to adventurer,journalist and at last writer,his brilliant route invites us to travel,imagine and move to action. This is a tribute to a vibrant and raw man.;;;;,,,,,,,,
The scent opens with the mysterious quality of both women's scents intermingling - sweet cigar smoke swirls and twirls in the dim light until it collides with a seductive cloud of powder. Everything is in silhouette as the scent draws you in to explore its development - the lipstick iris and saturated rose notes give way to a plush cushion of ambrette,vanilla,and benzoin. The cedar note lends a kick of smoke that evokes a bewitching image - a pair of glossy red lips smoking a clove cigarette.;;;;,,,,,,,,,,
The body is a subtle blend of tuberose and Eau de Brouts absolute,an exclusive Robertet raw material,surrounded by the Ylang Comores essence and slightly spiced by Nutmeg. A cedar wood blend with a touch of musk completes the composition.;;;;,,,,,,,,,,
While this is definitely not light in the sense of being understated,it is light in the sense of being airy and buoyant. It is an expansive airiness - a large billowy cloud of something weightless: rows and rows of ballerinas spinning in tutus,hundreds of white butterflies being released into the air,an impossibly long chiffon veil floating in the wind. ;;;;,,,,,,,,,
Lys 41 is also filled with light  the bright white flowers have a brilliant luminosity which is burnished to a soft pearlescent sheen by the musk and vanilla. The expectations are always high with Le Labo,and Lys 41,created in collaboration with one of Le Labo's iconic noses,DaphnÃ© Bugey,does not disappoint. They have created the white floral that we wear in our dreams.;;;;,,,,,,,,
Ylang 49 opens with a powerful burst of classic chypre elements  a sultry sweet floral heart of gardenia and ylang ylang,countering a pungently earthy patchouli and oakmoss. But just when you think you've got it figured out,the ylang ylang and gardenia meld into a lush,buttery,exotic floral with hints of apricot. The tension between the creamy flowers and dusky oakmoss creates a gingery fizz and the deep thrum of rich sandalwood and resinous benzoin generates a velvety sweetness that highlights the titular ingredient's peachlike aspect. In the center of all this swirling intrigue is a warm,salty skin note that feels both sensuous and modern,provocative yet comforting. Like the mysterious beauty from so many stories,Ylang 49 is not meant to flirt with everyone it meets,but instead to seduce only the worthy.;;;;,,,,
Exquisite secrets like the ones contained in Ylang 49 simply cannot be limited to either men or women. The only requirements are boldness,complexity,and a thirst for the extraordinary.;;;;,,,,,,,,,,
Glorious surprises from the beginning with a hit of glossy,juicy accords loaded with playful mischief. Raspberry,plum and peach mingle on the skin with succulent delight,while apple and pineapple bring a sense of heavenly effervescence. As the fruity tones melt away,Glorious unravels like a fine wine,smooth and utterly divine. The heart of jasmine ensures the palpable feeling of luxury,while the use of cardamom and nutmeg convey the air of nonconformity that has become synonymous with Boadicea the Victorious.;;;;,,,,,,
Like its predecessor,MOUSSE II opens with the spicy warmth of clove against a strong backbone of sandalwood and oak moss. But while the original took its time to slowly develop its cool aldehyde and musk counterbalance,MOUSSE II ups the ante with a powerful blast of mint that immediately ties spicy and fresh together. As the fragrance dries on the skin,notes of lily of the valley and Mexican lime weave together for a rich,bright green that blends vitality and lightness with the ever present warmth of clove without a hint of contradiction. Many fragrances claim to offer perfect balance,but very few manage to pull it off with such creative panache. With MOUSSE II,Oliver & Co. stands alone.;;;;,,,,,,
In keeping with this philosophy,Vetiverus opens dramatically with an exquisitely deep and mysterious vetiver,at once smoky and velvety rich,reminiscent of Les Nez's cult classic Turtle Vetiver Exercise 1. And rather than undercut that raw power,Vetiverus goes all in,with labdanum,leather,patchouli and clove serving to reinforce and extend the natural depth and warmth. A base of musk keeps everything standing upright,while the subtle sweetness of osmanthus flowers provides rich smoothness. ;;;;,,,,
The hedonist who wears this intoxicatingly sweet floral,loaded with ripe peaches and rum extract,is unquestionable a pleasure-seaker,but she also a lady. She's the center of attention without raising her voice. She enters and heads turn. ;;;;,,,,,,,,,
In this perfect orchestration,peach melds with vanilla,osmanthus,jasmine and soft tobacco in a classic example of feminine flirtation,a beguiling expression of skin that wants to be touched. ;;;;,,,,,,,,
English gin clinking in a tumbler with ice  aromatic,fresh,and cold  is evoked by the astringent herb angelica as Les Jeux Sont Faits sounds its first notes. Its juniper-like sharpness gives way to accords that recall the woodwork,leather chairs,and gaming men in clandestine gambling clubs: tobacco leaves,cumin,sandalwood,patchouli and leather. To offset these olfactory signifiers of masculinity is a warm and fruity accord rounded off by vanilla and labdanum,which also recalls Old Cuban rums.;;;;,,,,
A vetiver leather dosed with patchouli and papyrus sedge,followed by a creamy,woodsy base,Private Label is bone dry and only lightly sweetened yet soft and seductive. Papyrus sedge adds a kind of vegetal bitterness to the already challenging and austere vetiver/leather combination. This formidable accord is balanced by the rich,buttery base of sandalwood and vanillic labdanum (cistus). ;;;;,,,,,,,,
The synaesthete might say that on the olfactory color wheel,patchouli resides somewhere between black and chocolate brown,with a bit of iridescent chartreuse green shimmering in between. Camphory,inky,aromatic,and even darkly refreshing,the elegant patchouli in PsychÃ©dÃ©lique isdark,smoky,ambered,generous and opulent, says FranÃ§ois HÃ©nin,and in spite of its unfortunate branding given by unwashed hippies 1960s,he says of this perfume thatEven the mud of Woodstock won't wash it away.;;;;
But though the master perfumer pegs himself asfigurative,don't expect a photorealistic impression of the homemade dessert. Flashback plays on the tart,green,citrusy aspects of rhubarb. Once unfolded,these facets connect with a bright,joyful vetiver whose grapefruit-like top notes are enhanced by actual grapefruit,before whispering the barest hint of flint and smoke.;;;;,,,,,,
Inspired by FrÃ©dÃ©ric Lebain's playful picture of mirror balls,party streamers and confetti (a print is included in the box),the young,up-and-coming perfumer Dora Arnaud has concocted a sparkling cocktail. Playing on the natural affinities of citrus and pepper  they share lemon-y facets --,she livens up the flavorful Japanese yuzu fruit with a blend of three peppers including the rare and precious Sichuan pepper,for a stunningly original cool-hot contrast. Dark rum turns up the heat in the base notes,anchored with dry,woody facets.;;;;,,,,,
For Kilian,Flower of Immortality is,above all,an olfactory homage to the peach blossom and its very strong symbolism in China. This blossom,whose pink petals are unveiled only in the middle of the winter,is believed to have the power to bewitch the human soul and to make it immortal. It is the set of symbols and myths that surround the flower that Kilian wanted to recreate in this new fragrance.;;;;,,,,,,,
La Route d'Emeraude,is a sensational olfactive experience which holds a bewitching and opulent gem: Sambac Jasmine.;;;;,,,,,,,,,,,
Do you remember the old Marlboro ads? A man and his horse in front of the fire on a great plain under tall,blue evening skies - A defining image of the spirit of the American West with all it implied about masculinity and personal freedom. This man,firelight in his face,leaning on the worn leather saddle,alone with the desert wind,an icon so powerful that every man wanted to be him and every woman wanted to have him... ;;;;,,,,,,,
From this memory is born SANTAL 33: the ambition to create an olfactive form inspired by the great American myth still a source of fantasy for the rest of the world... ;;;;,,,,,,,,,,,,
A perfume that touches the sensual universality of this icon... that would intoxicate a man as much as a woman... that introduces our use of cardamom,iris,violet,ambrox which crackle in the formula and bring to this smoking wood alloy (Australian sandalwood,papyrus,cedarwood) some spicy,leathery,musky notes,and gives this perfume its unisex signature and addictive comfort. ;;;;,,,,
Bergamote 22 started its life under the code nameFire Cologne,and as soon as we smelled the unexpected effervescent spiciness of its top notes,we knew why. Subtle but noticeable,the piquancy of nutmeg puts a twist on the classic citrus scent genre. The tingling spice compliments beautifully the fizzy notes of grapefruit and bergamot. The translucent green aspect brought on by petit grain is yet another layer that unfolds on the skin revealing the complex nature of this seemingly simple composition. The gauzy citrus notes are grounded by amber,musk and vetiver. The substantionality of the base notes gives Bergamote 22 weight and rich texture seldom found in citrus blends. A unisex fragrance with an unforgettable personality.;;;;,,,,,,,,
Le Labo is known for playing with our ideas of what a fragrance should be,and Patchouli 24 is no exception. With Patchouli 24,talented perfumer Annick Menardo takes the idea of patchouli-- a rebellious adventurer with a creative streak-- and spins it into a scent that upsets all expectations. Instead of smelling like the patchouli we know,Patchouli 24 is intensely leathery and smoky,like a worn leather jacket laid over a hot motorcycle engine. Counterbalanced against these notes is a creamy,custard-like vanilla. Patchouli 24's contradictions draw us back to our wrists to smell it again and again. If you want straight patchouli,look elsewhere. If you are open to a fragrance that embraces the idea of patchouli,and yet is like nothing you've smelled before,welcome to Patchouli 24.;;;;,,,,
A rose for men destined to be stolen by women,Rose 31 takes the most feminine of all notes,darkens,dries and spicies it up turning it into a veritable emblem of masculinity. Mesmerizingly ambiguous,the fragrance alternates between the floral and the spicy with a generous dose of the woody and the animalic thrown in for good measure. The striking,elegantly austere beginning of Rose 31 gives way to the sweet,spicy star note of rose accompanied by fiery spices,pepper,clove and nutmeg. The naughty hint of cumin in the heart of the scent is a prologue to the sensual base of oud and vetiver. Dark,dangerous and sublimely refined,this is one of our favorite Rose perfumes of all time.;;;;,,
Jasmin 17,Maurice Roucel's unashamedly feminine creation for Le Labo,is guaranteed to make you feel pretty,oh so pretty! We know that the number in the title refers to the number of ingredients in the formula,but we suspect that it also has something to do with the fact this rendition of jasmine makes us feel like we are 17 again... no,it does not smelltoo young,it smells beautifully youthful! The radiant simplicity of the blend is what attracts us to Jasmin 17 the most. The pairing of vanilla and the airy jasmine,with its naturally honeyed undertone,is the proof that the most genius ideas are so very simple. The playful sensuality of the blend is enhanced by sandalwood and musk... and by Roucel's magical touch. Charmant!;;;;,,,,
The first new worldwide fragrance since Le Labo was created,Oud 27 uses its title note as a point of departure into the richly ornamented,dark and luscious world of oriental perfumes,weaving a story so multi-faceted and vivid that it might be an olfactory equivalent of one of Scheherazade's tales. The vibrant darkness falls with the very first accord,an extravagantly opulent mix of Atlas cedar and incense. The dry,resinous blend is brightened and softly sweetened by saffron,the golden spiciness of which glistens within the nocturnal fabric of Oud 27 like a constellation of far away stars. Gaiac and patchouli further deepen and enrich the balsamic top notes and lead the scent into an even more sensual territory. At once expansive and wild,yet surprisingly intimate and soft,the scent is beautifully androgynous and would befit both Scheherazade and Shahryar. The creators call Oud 27,One Thousand and One Nights,bottled. We are so mesmerized by this oriental masterpiece that we would wear it for one thousand and one nights in a row and not miss another perfume.;;;;,,
Ambrette 9,originally meant as a fragrance for babies and their mommies,is a reminder that there is a child in all of us. Centered on an ambrette seed note-- the delicate musky scent with a softly fruity undertone,it is the smell of baby's skin,of mother's caress,of human tenderness. Simple,radiant and comforting,ambrette,a perfume in itself,does not require much ornamentation to make it enthralling. Ambrette 9 accentuates the natural beauty of its star note with subtle floral and musky accents. A delicate delight...;;;;,,,
Three years in production,Le Labo's ode to orange blossom might be the most sublimely unisex rendition that we know. Simultaneously true-to-life and elegantly stylized,Fleur d'Oranger 27,showcases its star note by enhancing both its citrusy and green side. The zesty aspect of orange blossom is underscored by the sunny,sparkly bergamot,petitgrain and grapefruit. The fragile beauty of snow-white blossoms is made even more dazzling when contrasted with the verdancy of vetiver and the dark richness of amber and musk. Breezy,intense and delightfully ambiguous,this is an orange blossom to be enjoyed by men and women alike.;;;;,,,,,
One whiff of the powerful masculinity of Vetiver 46,and all we can say is,hello Clark Gable. Who better to personify the old world elegance,strength,and sheer charisma of this fragrance? Celebrated nose Mark Buxton weaves top grade Haitian vetiver with pepper and cedar to give Vetiver 46 a dark,steely backbone,and then warms its edges with clove and gaiac wood. A hint of incense adds grace. Over the hours,the radiance of amber and vanilla shows Vetiver 46's more sensitive side. The result is an uncompromisingly male scent with the magnetism of a Hollywood star.;;;;,,,,,
Iris connoisseurs know that iris can be a diva: silky and elegant one moment and distanced and intellectual the next. With Iris 39,Le Labo did the seemingly impossible and crafted a warm,earthy iris. Iris 39's sexy blend of iris,patchouli,and oakmoss are shot through with the surprise of lime,ginger,and cardamom. If Iris 39 were a woman,she'd be renowned for her glamorous sense of style but loved for her open personality and sense of humor. She'd pack midnight picnics to eat under the stars,dance in nightclubs until dawn,and leave with her cell phone full of numbers,but she'd always be there for a friend in need. To us,Iris 39 says viva la dolce vita.;;;;,
Tzora begins its journey with a slightly sweet blast of sun-ripened orange. The citric effervescence immediately ushers in a nose-tingling pinch of pepper. The mineral notes of warm earth and moss ground Tzora and in so doing,nudge the fragrance into the chypre style. The shadow of tall cypress trees offers an evergreen filter to the blend. Subtle traces of vetiver carry Tzora into its rugged yet comforting dry-down.;;;;,,,,,,,,,,,
A sensuous and particularly sophisticated fragrance. So Nicolai!  Patricia Nicolai;;;;,,,,,,,,,,,,
FORBIDDEN GAMES is a composition of fruits and spices,flowers and amber; A nectar of fruits prohibited to mortals.;;;,,,,,,,,,,,
The perfume opens on a potpourri of fruits-- Apple,Peach,Plum and then spiced by Cinnamon bark from Laos. Then the perfume advances into a lush,exuberant floral heart: Bulgarian Rose Orpur,Geranium Bourbon,and Midnight Jasmine-- before disappearing slowly into a sweet confection of Madagascar Vanilla,Laotian Honey and the spellbinding resinous oil of Opoponax.;;;;,,,,,,
He also conceives his collection as a fragrance wardrobe for every moment of the day and with the Amyris his'n'hers duo,he wanted scents that could be shrugged on for daywear: chic,but comfortable enough not to demand major commitment before spritzing.;;;;,,,,,,,,,,
Amyris is a wood formerly known as West Indies sandalwood,which draws its name from the Greek amyron,intensely fragrant: it was in rediscovering its scent during exercises with his apprentice that Francis Kurkdjian was inspired to use it. The word itself includediris,which yields the core accord of the fragrance: orris butter  a high-quality variety with no rooty-earthy facets  and amyris,which teeters between sandalwood and cedar. To make the austere iris smile like an impish Parisienne,the perfumer wraps it in a sweet,plush lemon blossom and leaves accord and dabs it with a powder puff.;;;;,,,,,,
Amyris is a wood formerly known as West Indies sandalwood,which draws its name from the Greek amyron,intensely fragrant: it was in rediscovering its scent during exercises with his apprentice that Francis Kurkdjian was inspired to use it. The word itself includediris,which yields the core accord of the fragrance with amyris,which straddles cedar and sandalwood.;;;;,,,,,,,,
Amyris homme plays on the tough-tender duality with an aromatic opening brightened by a squirt of mandarin. For his iris note,the perfumer uses iris resinoid,which develops striking dark chocolate facets. It is this non-gourmand chocolate effect that Amyris homme plays on to express dusky masculine tenderness by setting the iris resinoid in a coconut,coffee and tonka bean,with its hay and tobacco facets suffused with a bitter-almond flavor. ;;;;,,,,,,,,
Spray it on,and you're drawn into a rich green 70s-style floral chypre,a galbanum-laced hyacinth splashed with bright green clementine with agrestic lavender accents. The hyacinth's rosy facet melds into a rich floral bouquet of rose,jasmine and iris,brushed with clove and coriander.;;;;,,,,,,,,
A soft and sensual fruity chypre,X for Women complements the soft eroticism of X for Men. Egyptian jasmine is refreshed and made momentarily sharp by fruit notes such as tart rhubarb and juicy peach and pineapple. Vanilla and labdanum soften and enrich those notes,and the perfume is made even more erotic with the X series' signature note of Karo Karundi,a white flower essence from the West African shrub whose scent recalls the Acacia flower and is reputed to be an aphrodisiac.;;;;,,,,,,,,,
In Clive Christian's X Series,perfume's aphrodisiac qualities are brought to the fore. In X for Men,orris (from the Iris flower's buttery rich and powdery soft roots) and Karo Karundi (a white flower essence from the West African shrub whose scent is reminiscent of Acacia) both help to power X for Men's gentle eros. Although cedarwood,a conventionally masculine note,hums continuously throughout X for Men,the perfume leans closer as a unisex fragrance,and could equally be inhaled from a male or female lover's pulse points and neck.;;;;,,,,,,
This citrusy and spicy chypre starts off with lime and grapefruit,combining with an intensely heady aromatic mix of petit grain,lavender and clary sage,creating an invigorating and luxurious blend that lifts the mood and heightens the senses. A touch of woods and pepper provide some background drama and atmosphere to these bright notes.;;;;,,,,,,,,,
This is an oud even the most ouded-out could curl up with. Sweetly leathery and animalic,with the touch of honey real oud gives off  and there is real Laotian oud in the blend. With its citrus and pepper facets,elemi resin adds sparkle to the top notes. Saffron brings out the leather effects of oud,set into the tenderest woods: the leathery,almost jam-sweet Atlas cedar,and a lavish,un-musty patchouli. ;;;;,,,,,,
BAMBOO HARMONY is the olfactive impression of a subtle sip of white tea taken in the heart of a bamboo.;;;;,,,,,,,,,,,,
BAMBOO HARMONY opens with luminous notes of Bergamot,Bigarade and Neroli. The perfume then evolves through a comforting heart combining white tea leaves - known for their sumptuous flavor and lustrous color - and Mimosa,highlighted with a touch of spices. The unique character of the trail is given by rare MatÃ© Essence,interlaced with sensual fig leaves and oak moss.;;;;,,,,,,,,,
This perfume lives again today,and we can admire its sobriety and immediacy,the intensity of its fragrance,and its continuous variation in notes. It is like walking in a forest through a gradually changing sequence of plants,flowers and wild herbs,and smelling their different successive scents. It is a very manly perfume which goes straight to the hearts of nature lovers. ;;;;,,,,,,,
This was the highest consecration of military and political genius,which led to the fulfilment of the ideals of Liberty and Reform of the French Revolution. The whole of Europe acclaimed the HERO,and FranÃ§ois RancÃ©,his master perfumer and devoted admirer,created for him a fragrance which expressed his virile and fiery nature.;;;;,,,,,,,,
The green,citrusy top notes add sparkle to the cardamom and ginger,churning up the milky,powdery accents of the rice and coconut notes. The latter is picked up by the lactonic facets in jasmine,while a rich May rose hints that the Queen of flowers and steamed rice may have secret affinities.;;;;,,,,,,,,
As for the scent,it is by Mathilde Bijaoui,whose dark beauty would have surely inspired Hugo Pratt had he known her. It was Mathilde who signed the critically acclaimed Tilda Swinton Like This,and with Bijou Romantique she offers another delicately hued composition that hovers just on the edge of being the most ethereal gourmand,with the subtle chocolate facets of iris,vetiver blending into the creaminess of vanilla and benzoin. Laboratoire Mane's captive molecule EVEE bridges the gap between vanilla and spices,lightly brushing the blend with the burn of clove.;;;;,,,,,,
The new opus,Precious Oud,pays homage to a mythical essence. The aquilaria,an Asian or Indian tree,actually only reveals its powerful scent via the infection of the wood by a fungus. A magi-like essence alongside frankincense and myrrh,the fragrant Oud resin,woody and balsamic,adds earthy and leathery accents. ;;;;,,,,,
The perfumer Amandine Marie has chosen to interpret Oud essence and associate it with flowers. The top note is bright and sparkling bergamot set off with pink peppercorn whilst already hinting at the tonality of the perfume with the scent of opulent incense. The heart note is a vibrant bouquet of the most beautiful flowers - sensual jasmine accompanied by tuberose. If not the queen of perfumery,then the tuberose could very well be the empress with its bewitching,divinely heady scent. There is a woody note of patchouli,and the base notes open up,opulent,rich and precious,surrounding the mythical Oud with the woody notes of sandalwood and vetiver and enveloping it in accents of amber.;;;;,,,,,,
Sombre Negra is a double agent. Intelligent,beguiling,captivating. The man who wears Sombre Negra is not what he seems. He is elegant and forbidden. His presence is undeniable but he can vanish without a trace. The woman who wears Sombre Negra is a smoldering beauty. Highly perceptive and discerning,she knows more than she lets on. She sees beyond the shadows,without fear of the unknown.;;;;,,,,,,,,
Core notes of Minnesotan red pine mingle with a base of amber,incense,vetiver Java and Texas cedar woods. After fresh top notes of juniper berries,a spicy harmony then unfolds where dominant woody notes are accented with clove and nutmeg.;;;;,,,,,,,,,
A spiced vetiver,Itasca opens with citrus fruits refreshed by juniper berries,followed by a harmonious combination of oriental woods,vetiver,and red Minnesotan pine. This scent evokes the forests that surround Lake Itasca,the source of the great Mississippi river,and a legendary place guarded by Algonquin Indians.;;;;,,,,,,
The name is taken from the ancient city of Azemmour on the Atlantic coast,near the orange groves his parents once owned. As for the scent,it is an olfactory landscape that captures the exhilarating fragrances of the orange tree,from the fruit and leaves to the flowers and bark,generously sprinkled with a blend of spices. ;;;;,,,,,,,,
A glorious quality of hay absolute,oak moss and henna absolute  a typically Moroccan scent reminiscent of Argentinean matÃ©  conjure the dry vegetation of the groves and dunes. A tiny,briny accent (no,it isn't an aquatic note) adds a touch of sea spray. Wood notes trace the undulating silhouettes of cypresses in the Atlantic wind.;;;;,,,,,,,,,
The scent is for those whose life is a journey. Ancient Carthage held a position as one of the capitals of maritime trade; its ports teaming with trade ships transporting the precious cargo of far off lands. L'Ambre de Carthage begins with the crisp notes of Mediterranean citrus and settles into the warm ambery scent of cistus labdunum. The journey proceeds to China where delicate osmanthus flowers and aromatic jasmine tea offers a soft counterpart to the darker notes of olibanum incense. The adventure ends in India,traveling through unknown towns and landscapes finding delight in the earthy scent of patchouli and precious sandalwood.;;;,,,,,,,,,,,
Idole de Lubin Eau de Parfum is a loving tribute to these women's steadfast character,as well as their bold femininity and the apparent paradoxes of their personality. It exalts their smile which radiates from sepia-toned photographs and brightens their countenance in the face of danger,as well as the boldness and valour that they exhibit while braving the elements.;;;;,,,,,,,,,,
